seconds,FHR,UC,FHR_GPR,UC_GPR
0,132.0,4.0,132.0,4.0
1,135.0,4.0,135.0,4.0
2,135.0,4.0,135.0,4.0
3,133.0,4.0,133.0,4.0
4,133.0,4.0,133.0,4.0
5,128.0,4.0,128.0,4.0
6,128.0,3.0,128.0,3.0
7,117.0,3.0,117.0,3.0
8,117.0,3.0,117.0,3.0
9,109.0,3.0,109.0,3.0
10,109.0,3.0,109.0,3.0
11,104.0,3.0,104.0,3.0
12,104.0,4.0,104.0,4.0
13,104.0,4.0,104.0,4.0
14,104.0,5.0,104.0,5.0
15,104.0,5.0,104.0,5.0
16,105.0,5.0,105.0,5.0
17,105.0,5.0,105.0,5.0
18,110.0,4.0,110.0,4.0
19,110.0,4.0,110.0,4.0
20,115.0,4.0,115.0,4.0
21,115.0,4.0,115.0,4.0
22,117.0,3.0,117.0,3.0
23,117.0,3.0,117.0,3.0
24,112.0,3.0,112.0,3.0
25,112.0,3.0,112.0,3.0
26,107.0,3.0,107.0,3.0
27,107.0,3.0,107.0,3.0
28,107.0,3.0,107.0,3.0
29,107.0,3.0,107.0,3.0
30,107.0,3.0,107.0,3.0
31,109.0,3.0,109.0,3.0
32,109.0,3.0,109.0,3.0
33,111.0,3.0,111.0,3.0
34,111.0,2.0,111.0,2.0
35,114.0,2.0,114.0,2.0
36,114.0,2.0,114.0,2.0
37,114.0,2.0,114.0,2.0
38,114.0,2.0,114.0,2.0
39,119.0,2.0,119.0,2.0
40,119.0,3.0,119.0,3.0
41,122.0,3.0,122.0,3.0
42,122.0,3.0,122.0,3.0
43,126.0,3.0,126.0,3.0
44,126.0,4.0,126.0,4.0
45,127.0,4.0,127.0,4.0
46,127.0,4.0,127.0,4.0
47,130.0,4.0,130.0,4.0
48,130.0,4.0,130.0,4.0
49,131.0,4.0,131.0,4.0
50,132.0,3.0,132.0,3.0
51,132.0,3.0,132.0,3.0
52,132.0,3.0,132.0,3.0
53,132.0,3.0,132.0,3.0
54,133.0,3.0,133.0,3.0
55,133.0,3.0,133.0,3.0
56,131.0,3.0,131.0,3.0
57,131.0,3.0,131.0,3.0
58,128.0,3.0,128.0,3.0
59,128.0,3.0,128.0,3.0
60,128.0,3.0,128.0,3.0
61,130.0,3.0,130.0,3.0
