seconds,FHR,UC,FHR_GPR,UC_GPR
0,132.75,48.5,132.75,48.5
1,134.25,47.0,134.25,47.0
2,127.5,48.5,127.5,48.5
3,127.5,53.0,127.5,53.0
4,127.5,56.5,127.5,56.5
5,127.5,54.5,127.5,54.5
6,127.5,53.5,127.5,53.5
7,127.5,53.5,127.5,53.5
8,127.5,54.5,127.5,54.5
9,127.5,57.5,127.5,57.5
10,127.5,60.5,127.5,60.5
11,127.25,60.0,127.25,60.0
12,127.25,60.0,127.25,60.0
13,127.25,62.0,127.25,62.0
14,127.5,63.5,127.5,63.5
15,127.5,59.0,127.5,59.0
16,139.0,63.5,139.0,63.5
17,142.0,67.0,142.0,67.0
18,142.75,68.0,142.75,68.0
19,138.0,67.5,138.0,67.5
20,138.0,64.0,138.0,64.0
21,135.25,63.0,135.25,63.0
22,135.25,65.0,135.25,65.0
23,135.25,68.0,135.25,68.0
24,135.25,61.0,135.25,61.0
25,135.25,58.0,135.25,58.0
26,135.25,59.0,135.25,59.0
27,135.25,59.0,135.25,59.0
28,135.25,58.0,135.25,58.0
29,135.25,62.5,135.25,62.5
30,135.25,61.0,135.25,61.0
31,135.25,63.0,135.25,63.0
32,0.0,59.5,134.73544477113705,59.5
33,0.0,55.5,134.6737632949006,55.5
34,0.0,53.0,134.81130850367526,53.0
35,0.0,54.0,135.10078416268811,54.0
36,0.0,52.5,135.4622063733657,52.5
37,0.0,51.0,135.81577881405644,51.0
38,0.0,51.0,136.1044989705193,51.0
39,0.0,50.0,136.30237328630244,50.0
40,0.0,52.0,136.4106656145093,52.0
41,0.0,51.0,136.4478051592234,51.0
42,0.0,50.5,136.43850587404438,50.5
43,0.0,49.5,136.40564720103885,49.5
44,0.0,48.5,136.36608322387966,48.5
45,0.0,47.5,136.32981375848703,47.5
46,0.0,50.5,136.30119182001488,50.5
47,0.0,50.5,136.28086879539237,50.5
48,0.0,48.5,136.26760400073596,48.5
49,0.0,48.5,136.2595479692593,48.5
50,0.0,49.0,136.25495996663116,49.0
51,0.0,52.5,136.25249530691772,52.5
52,0.0,54.5,136.2512366551662,54.5
53,0.0,48.0,136.2506091818748,48.0
54,0.0,50.0,136.25026337292223,50.0
55,0.0,54.0,136.24995896691894,54.0
56,0.0,55.5,136.24944631851625,55.5
57,0.0,52.0,136.24831350428812,52.0
58,0.0,48.0,136.24574119039573,48.0
59,0.0,54.5,136.24007729548788,54.5
60,0.0,51.5,136.22811103685115,51.5
61,0.0,46.0,136.20390319511668,46.0
62,0.0,47.5,136.15704299182673,47.5
63,0.0,52.0,136.0702923796082,52.0
64,0.0,49.5,135.9167900215,49.5
65,0.0,52.5,135.65734270813994,52.5
66,0.0,47.5,135.23879421254628,47.5
67,0.0,47.0,134.59489405796538,47.0
68,0.0,52.0,133.65124466835482,52.0
69,0.0,46.5,132.3354814731879,46.5
70,0.0,46.0,130.59261462882273,46.0
71,0.0,49.0,128.40348854428964,49.0
72,0.0,46.0,125.80209231534633,46.0
73,0.0,43.5,122.8859100524432,43.5
74,0.0,42.0,119.81371312507468,42.0
75,0.0,43.5,116.7878519553342,43.5
76,0.0,42.5,114.02291415745731,42.5
77,0.0,41.5,111.70805391134137,41.5
78,0.0,39.0,109.97398067812541,39.0
79,108.25,39.5,108.25,39.5
80,108.25,39.5,108.25,39.5
81,108.25,37.5,108.25,37.5
82,110.0,34.5,110.0,34.5
83,110.0,34.5,110.0,34.5
84,110.0,35.5,110.0,35.5
85,113.5,33.5,113.5,33.5
86,113.5,30.5,113.5,30.5
87,116.5,32.0,116.5,32.0
88,116.5,32.0,116.5,32.0
89,119.75,29.0,119.75,29.0
90,122.0,29.0,122.0,29.0
91,122.0,31.5,122.0,31.5
92,123.0,30.0,123.0,30.0
93,123.0,28.0,123.0,28.0
94,124.75,29.5,124.75,29.5
