seconds,FHR,UC,FHR_KNN,UC_KNN
0,167.0,27.5,167.0,27.5
1,166.0,28.0,166.0,28.0
2,166.0,29.5,166.0,29.5
3,166.0,30.5,166.0,30.5
4,165.5,31.5,165.5,31.5
5,165.5,31.5,165.5,31.5
6,166.0,30.0,166.0,30.0
7,165.75,29.0,165.75,29.0
8,165.75,28.5,165.75,28.5
9,164.75,28.5,164.75,28.5
10,164.75,28.5,164.75,28.5
11,165.25,28.0,165.25,28.0
12,165.25,27.5,165.25,27.5
13,165.5,26.0,165.5,26.0
14,165.5,25.5,165.5,25.5
15,166.75,26.5,166.75,26.5
16,166.75,28.0,166.75,28.0
17,166.75,29.0,166.75,29.0
18,166.75,30.0,166.75,30.0
19,168.25,30.0,168.25,30.0
20,168.25,29.0,168.25,29.0
21,168.0,29.0,168.0,29.0
22,168.0,28.5,168.0,28.5
23,168.25,28.0,168.25,28.0
24,168.0,28.0,168.0,28.0
25,168.0,28.0,168.0,28.0
26,168.0,26.5,168.0,26.5
27,167.5,26.0,167.5,26.0
28,167.75,25.0,167.75,25.0
29,167.5,25.0,167.5,25.0
30,167.5,26.0,167.5,26.0
31,167.5,27.5,167.5,27.5
32,167.5,29.0,167.5,29.0
33,167.5,28.5,167.5,28.5
34,167.5,27.5,167.5,27.5
35,168.0,26.5,168.0,26.5
36,168.0,26.5,168.0,26.5
37,168.25,26.5,168.25,26.5
38,168.25,26.5,168.25,26.5
39,167.75,26.0,167.75,26.0
40,167.75,25.5,167.75,25.5
41,167.0,24.5,167.0,24.5
42,167.0,23.5,167.0,23.5
43,167.0,23.0,167.0,23.0
44,167.0,24.0,167.0,24.0
45,167.0,25.5,167.0,25.5
46,167.25,27.0,167.25,27.0
47,167.25,27.0,167.25,27.0
48,167.5,26.5,167.5,26.5
49,167.5,25.5,167.5,25.5
50,167.5,25.0,167.5,25.0
51,166.5,25.0,166.5,25.0
52,166.5,25.0,166.5,25.0
53,166.5,25.0,166.5,25.0
54,165.5,24.5,165.5,24.5
55,166.0,24.0,166.0,24.0
56,166.0,23.5,166.0,23.5
57,165.5,24.5,165.5,24.5
58,165.5,25.5,165.5,25.5
59,165.5,26.0,165.5,26.0
60,166.25,27.0,166.25,27.0
61,167.0,27.5,167.0,27.5
62,167.0,27.5,167.0,27.5
63,167.5,27.0,167.5,27.0
64,167.5,26.5,167.5,26.5
65,168.25,26.0,168.25,26.0
66,168.25,26.0,168.25,26.0
67,168.25,25.5,168.25,25.5
68,168.25,25.5,168.25,25.5
69,167.5,25.0,167.5,25.0
70,167.5,24.5,167.5,24.5
71,167.75,23.5,167.75,23.5
72,167.25,23.0,167.25,23.0
73,167.25,23.0,167.25,23.0
74,167.75,25.0,167.75,25.0
75,167.75,27.0,167.75,27.0
76,168.0,29.0,168.0,29.0
77,168.0,30.5,168.0,30.5
78,167.5,32.0,167.5,32.0
79,167.0,32.0,167.0,32.0
80,167.0,32.5,167.0,32.5
81,167.0,32.5,167.0,32.5
82,167.0,32.5,167.0,32.5
83,166.5,32.0,166.5,32.0
84,166.5,31.5,166.5,31.5
85,167.0,30.5,167.0,30.5
86,167.0,29.5,167.0,29.5
87,167.5,28.0,167.5,28.0
88,167.5,26.5,167.5,26.5
89,168.5,25.0,168.5,25.0
90,168.5,24.0,168.5,24.0
91,167.75,23.0,167.75,23.0
92,168.75,22.5,168.75,22.5
93,168.75,22.0,168.75,22.0
94,169.5,22.5,169.5,22.5
95,169.5,24.5,169.5,24.5
