seconds,FHR,UC,FHR_KNN,UC_KNN
0,142.5,5.0,142.5,5.0
1,143.0,5.5,143.0,5.5
2,143.5,5.5,143.5,5.5
3,143.5,5.0,143.5,5.0
4,143.25,5.0,143.25,5.0
5,143.25,4.5,143.25,4.5
6,143.25,4.5,143.25,4.5
7,143.25,5.0,143.25,5.0
8,143.25,5.5,143.25,5.5
9,143.25,6.5,143.25,6.5
10,143.25,7.5,143.25,7.5
11,143.0,7.5,143.0,7.5
12,143.0,6.5,143.0,6.5
13,143.0,5.5,143.0,5.5
14,143.0,5.0,143.0,5.0
15,143.0,5.0,143.0,5.0
16,143.25,5.0,143.25,5.0
17,143.5,5.0,143.5,5.0
18,143.5,6.0,143.5,6.0
19,144.5,6.5,144.5,6.5
20,144.5,7.5,144.5,7.5
21,144.0,8.0,144.0,8.0
22,144.75,7.0,144.75,7.0
23,144.75,6.0,144.75,6.0
24,144.5,5.5,144.5,5.5
25,144.5,5.0,144.5,5.0
26,144.25,5.0,144.25,5.0
27,144.25,5.0,144.25,5.0
28,144.25,5.5,144.25,5.5
29,143.75,6.0,143.75,6.0
30,143.75,7.0,143.75,7.0
31,143.5,7.5,143.5,7.5
32,143.0,7.5,143.0,7.5
33,143.0,7.5,143.0,7.5
34,143.75,6.0,143.75,6.0
35,143.75,5.5,143.75,5.5
36,142.5,5.5,142.5,5.5
37,142.5,5.5,142.5,5.5
38,142.5,5.5,142.5,5.5
39,143.0,6.5,143.0,6.5
40,143.0,7.5,143.0,7.5
41,143.25,8.5,143.25,8.5
42,143.25,9.5,143.25,9.5
43,143.25,10.5,143.25,10.5
44,143.25,9.5,143.25,9.5
45,143.25,8.0,143.25,8.0
46,144.0,7.0,144.0,7.0
47,144.0,7.0,144.0,7.0
48,144.0,7.0,144.0,7.0
49,144.25,7.5,144.25,7.5
50,144.25,8.0,144.25,8.0
51,144.75,9.0,144.75,9.0
52,144.25,9.0,144.25,9.0
53,144.25,7.5,144.25,7.5
54,144.75,6.0,144.75,6.0
55,144.75,5.5,144.75,5.5
56,144.0,5.0,144.0,5.0
57,144.5,5.5,144.5,5.5
58,144.5,7.0,144.5,7.0
59,143.5,7.5,143.5,7.5
60,143.5,7.5,143.5,7.5
61,144.25,6.5,144.25,6.5
62,144.0,5.5,144.0,5.5
63,144.0,5.5,144.0,5.5
64,143.25,5.0,143.25,5.0
65,143.25,5.0,143.25,5.0
66,143.5,5.0,143.5,5.0
67,145.0,6.0,145.0,6.0
68,145.0,7.0,145.0,7.0
69,143.75,7.5,143.75,7.5
70,143.75,7.5,143.75,7.5
71,144.25,7.0,144.25,7.0
72,144.5,6.5,144.5,6.5
73,144.5,6.0,144.5,6.0
74,144.0,7.0,144.0,7.0
75,144.0,8.0,144.0,8.0
76,142.75,9.5,142.75,9.5
77,143.25,10.5,143.25,10.5
78,143.25,10.0,143.25,10.0
79,143.25,9.0,143.25,9.0
80,143.25,8.5,143.25,8.5
