seconds,FHR,UC,FHR_KNN,UC_KNN
0,123.0,1.0,123.0,1.0
1,123.0,0.0,123.0,1.0
2,123.0,0.0,123.0,1.0
3,121.75,0.0,121.75,1.0
4,127.25,0.0,127.25,1.0
5,127.25,0.0,127.25,1.0
6,128.0,0.0,128.0,1.0
7,128.0,0.0,128.0,1.0
8,130.25,0.0,130.25,1.0
9,130.25,0.0,130.25,1.0
10,129.75,0.0,129.75,1.0
11,132.0,0.5,132.0,0.5
12,132.0,1.5,132.0,1.5
13,131.25,1.5,131.25,1.5
14,131.25,0.5,131.25,0.5
15,132.5,0.0,132.5,1.0
16,132.5,0.0,132.5,1.0
17,130.75,0.0,130.75,1.0
18,130.75,0.0,130.75,1.0
19,130.75,0.0,130.75,1.2
20,131.75,0.0,131.75,1.0
21,131.75,0.0,131.75,1.0
22,130.0,0.0,130.0,1.0
23,130.0,0.0,130.0,1.0
24,131.5,0.0,131.5,1.0
25,131.5,1.0,131.5,1.0
26,130.75,1.5,130.75,1.5
27,130.75,0.5,130.75,0.5
28,131.75,0.0,131.75,1.0
29,132.0,0.0,132.0,1.0
30,132.0,0.0,132.0,1.0
31,132.0,0.0,132.0,1.0
32,132.0,0.0,132.0,1.0
33,132.0,0.0,132.0,1.1
34,132.0,0.0,132.0,1.1
35,132.0,0.0,132.0,1.1
36,131.75,0.0,131.75,1.1
37,131.75,0.5,131.75,0.5
38,131.75,1.5,131.75,1.5
39,132.0,1.5,132.0,1.5
40,132.0,0.0,132.0,1.1
41,132.0,0.0,132.0,1.1
42,0.0,0.0,131.9,1.1
43,0.0,0.0,131.9,1.1
44,0.0,0.0,131.9,1.1
45,0.0,0.0,131.9,1.4
46,0.0,0.0,131.9,1.4
47,0.0,0.0,128.7,1.4
48,0.0,0.0,125.5,1.4
49,0.0,0.5,122.25,0.5
50,0.0,1.5,121.45,1.5
51,0.0,2.0,121.45,2.0
52,0.0,1.5,121.45,1.5
53,0.0,0.0,121.45,1.3
54,0.0,0.0,121.45,1.3
55,115.75,0.0,115.75,1.3
56,115.75,0.0,115.75,1.3
57,115.75,0.0,115.75,1.7
58,130.0,0.0,130.0,2.0
59,130.0,0.0,130.0,1.8
60,126.25,0.0,126.25,1.8
61,126.25,0.0,126.25,1.8
62,123.75,1.0,123.75,1.0
63,123.75,2.5,123.75,2.5
64,124.0,3.0,124.0,3.0
65,124.0,1.0,124.0,1.0
66,121.5,0.0,121.5,1.6
67,121.5,0.0,121.5,1.6
68,120.75,0.0,120.75,1.6
69,120.75,0.0,120.75,1.6
70,120.0,0.0,120.0,1.6
71,120.0,0.0,120.0,1.5
72,119.25,0.0,119.25,1.3
73,119.25,0.0,119.25,1.2
74,118.75,0.0,118.75,1.2
75,118.75,0.0,118.75,1.2
76,119.75,0.5,119.75,0.5
77,119.75,1.0,119.75,1.0
78,122.0,2.0,122.0,2.0
79,122.0,2.0,122.0,2.0
80,121.25,0.5,121.25,0.5
81,121.25,0.0,121.25,1.2
82,121.5,0.0,121.5,1.2
83,121.5,0.0,121.5,1.3
84,122.25,0.0,122.25,1.3
85,122.25,0.0,122.25,1.5
86,122.25,0.0,122.25,1.8
87,122.25,0.0,122.25,2.3
88,119.5,0.5,119.5,0.5
89,119.5,1.5,119.5,1.5
90,119.0,3.0,119.0,3.0
91,119.0,3.5,119.0,3.5
92,117.75,3.0,117.75,3.0
93,117.75,1.0,117.75,1.0
94,117.75,0.5,117.75,0.5
95,116.0,0.5,116.0,0.5
96,116.0,0.0,116.0,1.7
97,116.0,0.0,116.0,1.1
98,115.0,0.0,115.0,1.1
99,117.0,0.0,117.0,1.7
100,117.0,0.0,117.0,2.6
101,117.0,1.0,117.0,1.0
102,117.0,2.5,117.0,2.5
103,117.0,4.0,117.0,4.0
104,115.5,5.0,115.5,5.0
105,115.5,5.0,115.5,5.0
106,115.0,3.5,115.0,3.5
107,115.0,3.0,115.0,3.0
108,116.0,2.5,116.0,2.5
109,121.0,2.5,121.0,2.5
110,121.0,2.5,121.0,2.5
111,125.75,1.5,125.75,1.5
112,125.75,0.5,125.75,0.5
113,128.0,0.5,128.0,0.5
114,128.0,2.5,128.0,2.5
115,128.5,4.0,128.5,4.0
116,128.5,6.0,128.5,6.0
117,131.5,7.0,131.5,7.0
118,135.0,7.5,135.0,7.5
119,135.0,6.5,135.0,6.5
120,133.0,5.0,133.0,5.0
121,133.0,3.5,133.0,3.5
122,130.25,3.5,130.25,3.5
123,128.0,3.5,128.0,3.5
124,128.0,3.0,128.0,3.0
125,128.0,2.0,128.0,2.0
126,128.0,2.0,128.0,2.0
127,128.75,3.5,128.75,3.5
128,128.75,5.0,128.75,5.0
129,130.25,6.0,130.25,6.0
130,130.25,7.0,130.25,7.0
131,131.5,7.0,131.5,7.0
132,131.5,5.5,131.5,5.5
133,131.0,4.5,131.0,4.5
134,132.75,3.5,132.75,3.5
135,132.75,3.0,132.75,3.0
136,134.0,3.5,134.0,3.5
137,134.0,3.0,134.0,3.0
138,134.25,2.5,134.25,2.5
139,134.25,2.5,134.25,2.5
140,133.5,4.5,133.5,4.5
141,133.5,5.5,133.5,5.5
