seconds,FHR,UC,FHR_KNN,UC_KNN
0,132.25,9.0,132.25,9.0
1,132.5,9.0,132.5,9.0
2,132.5,9.0,132.5,9.0
3,132.75,9.0,132.75,9.0
4,132.75,8.5,132.75,8.5
5,132.75,8.5,132.75,8.5
6,132.75,8.5,132.75,8.5
7,132.75,8.0,132.75,8.0
8,132.75,8.0,132.75,8.0
9,132.75,8.0,132.75,8.0
10,130.75,7.5,130.75,7.5
11,130.75,8.0,130.75,8.0
12,130.5,7.5,130.5,7.5
13,130.5,8.0,130.5,8.0
14,131.5,8.5,131.5,8.5
15,131.5,8.0,131.5,8.0
16,132.25,8.0,132.25,8.0
17,132.5,8.0,132.5,8.0
18,132.5,8.0,132.5,8.0
19,132.0,8.0,132.0,8.0
20,132.0,9.0,132.0,9.0
21,132.25,9.0,132.25,9.0
22,132.25,8.5,132.25,8.5
23,132.75,8.5,132.75,8.5
24,132.75,8.5,132.75,8.5
25,132.75,9.0,132.75,9.0
26,132.5,9.0,132.5,9.0
27,132.5,9.0,132.5,9.0
28,132.5,9.5,132.5,9.5
29,132.5,10.5,132.5,10.5
30,132.75,10.5,132.75,10.5
31,132.75,11.0,132.75,11.0
32,132.75,10.0,132.75,10.0
33,132.75,9.5,132.75,9.5
34,132.5,9.0,132.5,9.0
35,132.75,9.0,132.75,9.0
36,132.75,8.5,132.75,8.5
37,134.25,11.0,134.25,11.0
38,134.25,13.5,134.25,13.5
39,135.0,13.5,135.0,13.5
40,135.0,14.0,135.0,14.0
41,135.5,15.0,135.5,15.0
42,135.75,15.0,135.75,15.0
43,135.75,15.5,135.75,15.5
44,136.25,16.0,136.25,16.0
45,136.25,15.5,136.25,15.5
46,136.0,15.0,136.0,15.0
47,136.0,15.0,136.0,15.0
48,135.0,15.5,135.0,15.5
49,135.0,16.5,135.0,16.5
50,134.5,19.0,134.5,19.0
51,134.5,19.5,134.5,19.5
52,134.5,20.0,134.5,20.0
53,134.75,20.0,134.75,20.0
54,134.75,20.5,134.75,20.5
55,134.75,21.0,134.75,21.0
56,134.75,22.0,134.75,22.0
57,134.5,22.5,134.5,22.5
58,134.5,22.0,134.5,22.0
59,134.25,23.0,134.25,23.0
60,134.25,23.5,134.25,23.5
61,134.25,24.0,134.25,24.0
62,133.75,24.0,133.75,24.0
63,133.75,24.5,133.75,24.5
64,134.25,24.5,134.25,24.5
65,134.25,25.0,134.25,25.0
66,134.25,26.0,134.25,26.0
67,134.25,26.5,134.25,26.5
68,134.0,27.5,134.0,27.5
69,133.75,28.0,133.75,28.0
70,133.75,28.5,133.75,28.5
71,133.75,28.5,133.75,28.5
72,133.75,29.5,133.75,29.5
73,133.0,30.0,133.0,30.0
74,133.0,30.5,133.0,30.5
75,132.75,31.5,132.75,31.5
76,132.75,32.0,132.75,32.0
77,132.0,32.5,132.0,32.5
78,132.5,32.5,132.5,32.5
79,132.5,32.0,132.5,32.0
80,132.25,32.0,132.25,32.0
81,132.25,32.0,132.25,32.0
82,132.75,31.0,132.75,31.0
83,132.75,31.0,132.75,31.0
84,133.5,30.5,133.5,30.5
85,133.5,31.0,133.5,31.0
86,133.5,31.0,133.5,31.0
87,132.75,30.0,132.75,30.0
88,132.75,30.5,132.75,30.5
89,132.25,30.0,132.25,30.0
90,132.25,30.5,132.25,30.5
91,132.75,31.0,132.75,31.0
92,132.75,31.0,132.75,31.0
93,132.75,31.5,132.75,31.5
94,132.75,32.0,132.75,32.0
95,132.25,32.5,132.25,32.5
96,132.0,33.0,132.0,33.0
97,132.0,33.5,132.0,33.5
98,132.25,33.5,132.25,33.5
99,132.25,33.5,132.25,33.5
100,132.75,32.5,132.75,32.5
101,132.75,32.0,132.75,32.0
102,133.0,32.0,133.0,32.0
103,133.0,32.0,133.0,32.0
104,132.0,32.5,132.0,32.5
105,132.0,31.5,132.0,31.5
106,132.0,31.5,132.0,31.5
107,131.5,32.0,131.5,32.0
108,131.5,32.0,131.5,32.0
109,131.25,32.0,131.25,32.0
110,131.25,32.0,131.25,32.0
111,131.0,32.5,131.0,32.5
112,131.0,33.0,131.0,33.0
113,131.5,33.0,131.5,33.0
